=== PROJECT PRICING DEBUG ===
Project,"Example Project"
Status,"STAGING"

=== PRICING MODE ===
Name,"Hybrid"
Extrusion Markup,300%
Hardware Markup,100%
Glass Markup,100%
Packaging Markup,0%
Global Markup,0%
Discount,0%
Extrusion Costing,"HYBRID"

=== OPENING: 001 ===
Finish Color,"Black (Powder Coated)"

--- Component: ThinWall - Active Door (Panel 639) ---
Dimensions,"45" W x 84" H"

BOM ITEMS
Part Number,Part Name,Part Type,Quantity,Unit Cost,Total Cost,Method,Details
"SL-502-PLASI-LCKSTRIKE","Plastic Lock Strike","Hardware",1,$0.50,$0.50,"direct_bom_cost","Direct cost from ProductBOM: $0.5 × 1"
"E-12311","Roller Track","Extrusion",1,$16.58,$16.58,"extrusion_hybrid_split","Hybrid (≥50% used): 96.5% used ($15.99 at markup) + 3.5% remaining ($0.59 at cost)"
"HW-LCK-MORLS08-FP","Sliding Door Lock Face Plate","Hardware",1,$0.80,$0.80,"direct_bom_cost","Direct cost from ProductBOM: $0.8 × 1"
"cardboard-box-door","Cardboard Box","Packaging",1,$10.00,$10.00,"direct_bom_cost","Direct cost from ProductBOM: $10 × 1"
"FOAM ROLL","Foam Gasket","Hardware",4,$0.33,$0.67,"master_part_hardware_lf","Hardware (LF): Formula ""(height - 10.375) / 12"" = 6.135416666666667"" = 0.51 LF × $0.33/LF × 4"
"FOAM ROLL","Foam Gasket","Hardware",4,$0.33,$0.36,"master_part_hardware_lf","Hardware (LF): Formula ""(width - 6.125) / 12"" = 3.2395833333333335"" = 0.27 LF × $0.33/LF × 4"

GLASS
Glass Type,Width Formula,Height Formula,Calc Width,Calc Height,Qty,Sqft,Price/Sqft,Total Cost
"Clear","width - 6.625","height - 9.875",38.375,74.125,1,19.75,$4.00,$79.02

Component BOM Total,$307.68
Component Options Total,$0.00
Component Glass Total,$79.02

--- Component: ThinWall - Fixed Panel (Panel 640) ---
Dimensions,"37" W x 84" H"

BOM ITEMS
Part Number,Part Name,Part Type,Quantity,Unit Cost,Total Cost,Method,Details
"48450","Web Rail-Shallow","Extrusion",1,$17.78,$17.78,"extrusion_hybrid_percentage","Hybrid (<50% used): 34.3% of stock × $51.81 × 1"
"E-12307H","Web Rail","Extrusion",1,$17.62,$17.62,"extrusion_hybrid_percentage","Hybrid (<50% used): 34.3% of stock × $51.35 × 1"
"48349","U-Channel-Shallow","Extrusion",1,$5.29,$5.29,"extrusion_hybrid_percentage","Hybrid (<50% used): 47.4% of stock × $11.14 × 1"
"E-12304","Thinwall U-Channel","Extrusion",1,$10.25,$10.25,"extrusion_hybrid_percentage","Hybrid (<50% used): 47.4% of stock × $21.61 × 1"
"E-12303","Flat Stock Trim","Extrusion",2,$4.18,$8.37,"extrusion_hybrid_percentage","Hybrid (<50% used): 30.5% of stock × $13.72 × 2"
"48601","Sliding Door Seal","Extrusion",1,$5.52,$5.52,"extrusion_hybrid_split","Hybrid (≥50% used): 85.4% used ($4.71 at markup) + 14.6% remaining ($0.81 at cost)"
"DR-ASD-TUBP020","3/8-24 Threaded Rod 35-1/16L","Hardware",2,$5.95,$11.90,"direct_bom_cost","Direct cost from ProductBOM: $5.95 × 2"
"AD-LUG-1.04-FG","Small Door Lug","Hardware",2,$0.01,$0.02,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 2"
"AD-LUG-3.20-FG","Small Door Lug","Hardware",2,$0.10,$0.20,"direct_bom_cost","Direct cost from ProductBOM: $0.1 × 2"
"DR-ASD-TUBP938","Trim Sweep Pile","Hardware",1,$0.62,$0.62,"direct_bom_cost","Direct cost from ProductBOM: $0.6186 × 1"
"DR-ASD-TUBS071","3/8-24 Locking Nut","Hardware",4,$0.13,$0.52,"direct_bom_cost","Direct cost from ProductBOM: $0.13 × 4"
"DR-ASD-TUBP852","3/8 ID x 1-1/4 OD Washer","Hardware",4,$0.11,$0.44,"direct_bom_cost","Direct cost from ProductBOM: $0.11 × 4"
"HW-N&B-FAS3004","Flat Washer","Hardware",2,$0.04,$0.07,"direct_bom_cost","Direct cost from ProductBOM: $0.0374 × 2"
"DR-ASD-NUT1512","Hex Head Screw","Hardware",2,$0.06,$0.11,"direct_bom_cost","Direct cost from ProductBOM: $0.055 × 2"
"STICKER-FLAT-TRIM","Flat Trim Sticker","Hardware",1,$0.10,$0.10,"direct_bom_cost","Direct cost from ProductBOM: $0.1 × 1"
"DR-ASD-BUMBS35","Black Bumper","Hardware",9,$0.06,$0.53,"direct_bom_cost","Direct cost from ProductBOM: $0.0594 × 9"
"DR-ASD-NUT884","HexSleeve Anchor","Hardware",2,$0.39,$0.78,"direct_bom_cost","Direct cost from ProductBOM: $0.3902 × 2"
"48447","Glass Stop (Face)","Extrusion",2,$1.08,$2.15,"extrusion_hybrid_percentage","Hybrid (<50% used): 34.3% of stock × $3.13 × 2"
"48448","Glass Stop (Gutter)","Extrusion",2,$5.64,$11.28,"extrusion_hybrid_split","Hybrid (≥50% used): 74.4% used ($8.39 at markup) + 25.6% remaining ($2.89 at cost)"
"48351","Dovetail","Extrusion",2,$17.57,$35.14,"extrusion_hybrid_split","Hybrid (≥50% used): 83.5% used ($29.33 at markup) + 16.5% remaining ($5.81 at cost)"
"48447","Glass Stop (Face)","Extrusion",2,$3.13,$6.27,"extrusion_hybrid_split","Hybrid (≥50% used): 72.2% used ($4.52 at markup) + 27.8% remaining ($1.74 at cost)"
"HW-BLT-FAS2060","Lag Bolt","Fastener",2,$0.01,$0.02,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 2"
"48448","Glass Stop (Gutter)","Extrusion",2,$1.99,$3.99,"extrusion_hybrid_percentage","Hybrid (<50% used): 35.4% of stock × $5.64 × 2"
"FOAM ROLL","Foam Gasket","Hardware",2,$0.33,$4.05,"master_part_hardware_lf","Hardware (LF): Formula ""height - 10.375"" = 73.625"" = 6.14 LF × $0.33/LF × 2"
"FOAM ROLL","Foam Gasket","Hardware",2,$0.33,$1.93,"master_part_hardware_lf","Hardware (LF): Formula ""width - 2"" = 35"" = 2.92 LF × $0.33/LF × 2"

GLASS
Glass Type,Width Formula,Height Formula,Calc Width,Calc Height,Qty,Sqft,Price/Sqft,Total Cost
"Clear","width - 2.5","height - 9.875",34.500,74.125,1,17.76,$4.00,$71.04

Component BOM Total,$144.94
Component Options Total,$0.00
Component Glass Total,$71.04

--- Component: ThinWall - Fixed End Panel (Panel 641) ---
Dimensions,"37" W x 84" H"

BOM ITEMS
Part Number,Part Name,Part Type,Quantity,Unit Cost,Total Cost,Method,Details
"48468","Fixed Back Stile","Extrusion",1,$54.00,$54.00,"extrusion_hybrid_split","Hybrid (≥50% used): 83.5% used ($45.07 at markup) + 16.5% remaining ($8.93 at cost)"
"48450","Web Rail-Shallow","Extrusion",1,$16.25,$16.25,"extrusion_hybrid_percentage","Hybrid (<50% used): 31.4% of stock × $51.81 × 1"
"E-12307H","Web Rail","Extrusion",1,$16.11,$16.11,"extrusion_hybrid_percentage","Hybrid (<50% used): 31.4% of stock × $51.35 × 1"
"48349","U-Channel-Shallow","Extrusion",1,$5.29,$5.29,"extrusion_hybrid_percentage","Hybrid (<50% used): 47.4% of stock × $11.14 × 1"
"E-12304","Thinwall U-Channel","Extrusion",1,$10.25,$10.25,"extrusion_hybrid_percentage","Hybrid (<50% used): 47.4% of stock × $21.61 × 1"
"E-12303","Flat Stock Trim","Extrusion",2,$4.25,$8.51,"extrusion_hybrid_percentage","Hybrid (<50% used): 31.0% of stock × $13.72 × 2"
"48601","Sliding Door Seal","Extrusion",1,$5.52,$5.52,"extrusion_hybrid_split","Hybrid (≥50% used): 85.4% used ($4.71 at markup) + 14.6% remaining ($0.81 at cost)"
"DR-ASD-TUBP020","3/8-24 Threaded Rod 35-1/16L","Hardware",2,$5.95,$11.90,"direct_bom_cost","Direct cost from ProductBOM: $5.95 × 2"
"AD-LUG-1.04-FG","Small Door Lug","Hardware",2,$0.01,$0.02,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 2"
"AD-LUG-3.20-FG","Small Door Lug","Hardware",2,$0.10,$0.20,"direct_bom_cost","Direct cost from ProductBOM: $0.1 × 2"
