=== PROJECT PRICING DEBUG ===
Project,"Resedential"
Status,"STAGING"

=== PRICING MODE ===
Name,"Percentage"
Extrusion Markup,300%
Hardware Markup,300%
Glass Markup,300%
Packaging Markup,0%
Global Markup,0%
Discount,0%
Extrusion Costing,"PERCENTAGE_BASED"

=== OPENING: 001 ===
Finish Color,"Black (Powder Coated)"

--- Component: ThinWall - Active Door (Panel 862) ---
Dimensions,"45" W x 82.625" H"

BOM ITEMS
Part Number,Part Name,Part Type,Quantity,Unit Cost,Total Cost,Method,Details
"DR-ASD-TUB1408","Sliding Door Lock Face Plate","Hardware",1,$5.93,$5.93,"direct_bom_cost","Direct cost from ProductBOM: $5.93 × 1"
"HW-SCR-MCMA572","1/4-20 Zinc 4"" Screw","Fastener",2,$0.35,$0.70,"direct_bom_cost","Direct cost from ProductBOM: $0.35 × 2"
"FOAM-GASKET-ROLL","Foam Gasket","Hardware",2,$0.10,$0.65,"master_part_hardware_lf","Hardware (LF): Formula ""width - 6.125"" = 38.875"" = 3.24 LF × $0.1/LF × 2"
"48351","Dovetail","Extrusion",1,$6.90,$10.93,"extrusion_percentage_based","Percentage-based: 39.27% of 99"" stock × $17.57 × 1"
"E-12306","Starter Channel","Extrusion",2,$10.16,$45.85,"extrusion_full_stock","Full stock: 123"" @ $10.16 × 2 (cut length: 84.63"")"

OPTION ITEMS
Category,Option Name,Part Number,Quantity,Unit Price,Total Price,Is Standard,Is Included
"Starter Channel","Starter Channel","E-12306",2,$0.00,$0.00,No,No

GLASS
Glass Type,Width Formula,Height Formula,Calc Width,Calc Height,Qty,Sqft,Price/Sqft,Total Cost
"Clear","width - 6.625","height - 9.875",38.375,72.750,1,19.39,$4.00,$77.55

Component BOM Total,$488.17
Component Options Total,$0.00
Component Glass Total,$77.55

--- Component: ThinWall - Fixed Panel (Panel 863) ---
Dimensions,"37" W x 82.625" H"

BOM ITEMS
Part Number,Part Name,Part Type,Quantity,Unit Cost,Total Cost,Method,Details
"FOAM-GASKET-ROLL","Foam Gasket","Hardware",2,$0.10,$1.23,"master_part_hardware_lf","Hardware (LF): Formula ""height - 9"" = 73.625"" = 6.14 LF × $0.1/LF × 2"
"48447","Glass Stop (Face)","Extrusion",2,$3.13,$27.43,"extrusion_full_stock","Full stock: 102"" @ $3.13 × 2 (cut length: 73.63"")"
"48448","Glass Stop (Gutter)","Extrusion",2,$5.81,$32.79,"extrusion_full_stock","Full stock: 102"" @ $5.81 × 2 (cut length: 73.63"")"
"48351","Dovetail","Extrusion",2,$17.57,$55.68,"extrusion_full_stock","Full stock: 99"" @ $17.57 × 2 (cut length: 82.63"")"
"E-12303","Flat Stock Trim","Extrusion",2,$4.18,$16.15,"extrusion_percentage_based","Percentage-based: 30.49% of 123"" stock × $13.72 × 2"
"MS-BX-38-84X120-DW","Fixed Panel and Door Box","Packaging",1,$0.00,$0.00,"no_cost_found","No pricing method found"
"AD-LUG-1.04-FG","Door Lug (1.04)","Hardware",2,$0.01,$0.02,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 2"
"HW-N&B-FAS3004","Flat Washer","Hardware",2,$0.04,$0.07,"direct_bom_cost","Direct cost from ProductBOM: $0.0374 × 2"
"DR-ASD-BUMBS35","Black Bumper","Hardware",9,$0.06,$0.53,"direct_bom_cost","Direct cost from ProductBOM: $0.0594 × 9"
"E-12304","Thinwall U-Channel","Extrusion",1,$10.25,$14.09,"extrusion_percentage_based","Percentage-based: 47.44% of 78"" stock × $21.61 × 1"
"48450","4"" Web Rail Shallow","Extrusion",1,$17.78,$21.41,"extrusion_percentage_based","Percentage-based: 34.31% of 102"" stock × $51.81 × 1"
"48349","U-Channel Shallow","Extrusion",1,$5.29,$9.12,"extrusion_percentage_based","Percentage-based: 47.44% of 78"" stock × $11.14 × 1"
"48448","Glass Stop (Gutter)","Extrusion",2,$1.99,$11.25,"extrusion_percentage_based","Percentage-based: 34.31% of 102"" stock × $5.81 × 2"
"48447","Glass Stop (Face)","Extrusion",2,$1.08,$9.41,"extrusion_percentage_based","Percentage-based: 34.31% of 102"" stock × $3.13 × 2"
"HW-BLT-FAS2060","Lag Bolt","Fastener",2,$0.01,$0.02,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 2"
"AD-LUG-3.20-FG","Door Lug (3.20)","Hardware",2,$0.10,$0.20,"direct_bom_cost","Direct cost from ProductBOM: $0.1 × 2"
"E-12307H","4"" ThinWall Web Rail","Extrusion",1,$17.62,$21.25,"extrusion_percentage_based","Percentage-based: 34.31% of 102"" stock × $51.35 × 1"
"DR-ASD-NUT884","HexSleeve Anchor","Fastener",2,$0.39,$0.78,"direct_bom_cost","Direct cost from ProductBOM: $0.3902 × 2"
"STICKER-FLAT-TRIM","Flat Trim Sticker","Hardware",1,$0.10,$0.10,"direct_bom_cost","Direct cost from ProductBOM: $0.1 × 1"
"JAMB-KIT-BOX","Jamb Kit Box","Packaging",1,$0.00,$0.00,"no_cost_found","No pricing method found"
"DR-ASD-GRA-FGR9","Threaded Tie-Rod","Extrusion",2,$21.77,$51.12,"extrusion_percentage_based","Percentage-based: 30.42% of 120"" stock × $71.58 × 2"
"FOAM-GASKET-ROLL","Foam Gasket","Hardware",2,$0.10,$0.58,"master_part_hardware_lf","Hardware (LF): Formula ""width - 2"" = 35"" = 2.92 LF × $0.1/LF × 2"
"HW-N&B-FAS9152","3/8-16 Locking Nut","Hardware",4,$0.25,$1.01,"direct_bom_cost","Direct cost from ProductBOM: $0.2527 × 4"

GLASS
Glass Type,Width Formula,Height Formula,Calc Width,Calc Height,Qty,Sqft,Price/Sqft,Total Cost
"Clear","width - 2.5","height - 9.875",34.500,72.750,1,17.43,$4.00,$69.72

Component BOM Total,$274.25
Component Options Total,$0.00
Component Glass Total,$69.72

--- Component: ThinWall - Fixed End Panel (4") (Panel 865) ---
Dimensions,"37" W x 82.625" H"

BOM ITEMS
Part Number,Part Name,Part Type,Quantity,Unit Cost,Total Cost,Method,Details
"FOAM-GASKET-ROLL","Foam Gasket","Hardware",2,$0.10,$1.23,"master_part_hardware_lf","Hardware (LF): Formula ""height - 9"" = 73.625"" = 6.14 LF × $0.1/LF × 2"
"FOAM-GASKET-ROLL","Foam Gasket","Hardware",2,$0.10,$0.53,"master_part_hardware_lf","Hardware (LF): Formula ""Width - 5"" = 32"" = 2.67 LF × $0.1/LF × 2"
"E-12306","Starter Channel","Extrusion",1,$10.16,$22.92,"extrusion_full_stock","Full stock: 123"" @ $10.16 × 1 (cut length: 84.63"")"
"JAMB-KIT-BOX","Jamb Kit Box","Packaging",1,$0.00,$0.00,"no_cost_found","No pricing method found"
"MS-BX-38-84X120-DW","Fixed Panel and Door Box","Packaging",1,$0.00,$0.00,"no_cost_found","No pricing method found"
"AD-LUG-1.04-FG","Door Lug (1.04)","Hardware",2,$0.01,$0.02,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 2"
"48447","Glass Stop (Face)","Extrusion",2,$3.13,$27.43,"extrusion_full_stock","Full stock: 102"" @ $3.13 × 2 (cut length: 72.25"")"
"DR-ASD-TUBP020","3/8-24 Threaded Rod 35-1/16L","Hardware",2,$5.95,$11.90,"direct_bom_cost","Direct cost from ProductBOM: $5.95 × 2"
"DR-ASD-BUMBS35","Black Bumper","Hardware",9,$0.06,$0.53,"direct_bom_cost","Direct cost from ProductBOM: $0.0594 × 9"
"48447","Glass Stop (Face)","Extrusion",2,$0.98,$8.61,"extrusion_percentage_based","Percentage-based: 31.37% of 102"" stock × $3.13 × 2"
"48448","Glass Stop (Gutter)","Extrusion",2,$1.82,$10.29,"extrusion_percentage_based","Percentage-based: 31.37% of 102"" stock × $5.81 × 2"
"48450","4"" Web Rail Shallow","Extrusion",1,$16.25,$19.57,"extrusion_percentage_based","Percentage-based: 31.37% of 102"" stock × $51.81 × 1"
"E-12303","Flat Stock Trim","Extrusion",2,$4.25,$16.42,"extrusion_percentage_based","Percentage-based: 31.00% of 123"" stock × $13.72 × 2"
"48601","Sliding Door Seal","Extrusion",1,$5.52,$15.79,"extrusion_full_stock","Full stock: 99"" @ $5.52 × 1 (cut length: 84.63"")"
"48351","Dovetail","Extrusion",1,$17.57,$27.84,"extrusion_full_stock","Full stock: 99"" @ $17.57 × 1 (cut length: 81.25"")"
"48448","Glass Stop (Gutter)","Extrusion",2,$5.81,$32.79,"extrusion_full_stock","Full stock: 102"" @ $5.81 × 2 (cut length: 72.25"")"
"48349","U-Channel Shallow","Extrusion",1,$5.29,$9.12,"extrusion_percentage_based","Percentage-based: 47.44% of 78"" stock × $11.14 × 1"
"AD-LUG-3.20-FG","Door Lug (3.20)","Hardware",2,$0.10,$0.20,"direct_bom_cost","Direct cost from ProductBOM: $0.1 × 2"
"DR-ASD-TUBS071","3/8-24 Locking Nut","Hardware",4,$0.13,$0.52,"direct_bom_cost","Direct cost from ProductBOM: $0.13 × 4"
"E-12307H","4"" ThinWall Web Rail","Extrusion",1,$16.11,$19.43,"extrusion_percentage_based","Percentage-based: 31.37% of 102"" stock × $51.35 × 1"
"48468","4"" Fixed Back Stile","Extrusion",1,$54.00,$64.28,"extrusion_full_stock","Full stock: 99"" @ $54.00 × 1 (cut length: 81.25"")"
"E-12304","Thinwall U-Channel","Extrusion",1,$10.25,$14.09,"extrusion_percentage_based","Percentage-based: 47.44% of 78"" stock × $21.61 × 1"
"HW-N&B-FAS3004","Flat Washer","Hardware",2,$0.04,$0.07,"direct_bom_cost","Direct cost from ProductBOM: $0.0374 × 2"
"DR-ASD-NUT1512","Hex Head Screw","Hardware",2,$0.06,$0.11,"direct_bom_cost","Direct cost from ProductBOM: $0.055 × 2"
"HW-STD-MCMA604","M5x15mm Press-Fit Stud","Hardware",2,$0.46,$0.92,"direct_bom_cost","Direct cost from ProductBOM: $0.4612 × 2"
"HW-BLT-FAS2060","Lag Bolt","Fastener",2,$0.01,$0.02,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 2"
"DR-ASD-TUBP938","Trim Sweep Pile","Hardware",1,$0.62,$0.62,"direct_bom_cost","Direct cost from ProductBOM: $0.6186 × 1"
"DR-ASD-NUT884","HexSleeve Anchor","Fastener",2,$0.39,$0.78,"direct_bom_cost","Direct cost from ProductBOM: $0.3902 × 2"
"RM-PUCK-BRKT","Roller Guide Bracket 12g Steel","Hardware",1,$0.01,$0.01,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 1"
"MS-BX-38-84X120-DW","Fixed Panel and Door Box","Packaging",1,$10.00,$10.00,"direct_bom_cost","Direct cost from ProductBOM: $10 × 1"

GLASS
Glass Type,Width Formula,Height Formula,Calc Width,Calc Height,Qty,Sqft,Price/Sqft,Total Cost
"Clear","width -8","height -10",29.000,72.625,1,14.63,$4.00,$58.50

Component BOM Total,$316.05
Component Options Total,$0.00
Component Glass Total,$58.50

--- OPENING COST SUMMARY ---
Category,Base Cost,Markup %,Marked Up Cost
Extrusion,$966.19,300%,$3864.78
Hardware,$89.97,300%,$359.90
Glass,$205.77,300%,$823.08
Packaging,$20.00,0%,$20.00
Other,$2.30,0%,$2.30
Standard Options (no markup),$0.00,0%,$0.00
Hybrid Remaining (no markup),$0.00,0%,$0.00

Opening Total (Base),$1284.24
Opening Total (Marked Up),$5070.06


=== OPENING: 002 ===
Finish Color,"Black (Powder Coated)"

--- Component: ThinWall - Active Door (Panel 866) ---
Dimensions,"45" W x 82.625" H"

BOM ITEMS
Part Number,Part Name,Part Type,Quantity,Unit Cost,Total Cost,Method,Details
"48420","Whisker Strip","Extrusion",2,$3.37,$22.93,"extrusion_full_stock","Full stock: 78"" @ $3.37 × 2 (cut length: 44.88"")"
"48447","Glass Stop (Face)","Extrusion",2,$1.12,$9.82,"extrusion_percentage_based","Percentage-based: 35.78% of 102"" stock × $3.13 × 2"
"E-12305H","2"" ThinWall Web Rail","Extrusion",1,$13.00,$16.78,"extrusion_percentage_based","Percentage-based: 34.43% of 106"" stock × $37.75 × 1"
"48448","Glass Stop (Gutter)","Extrusion",2,$5.81,$32.79,"extrusion_full_stock","Full stock: 102"" @ $5.81 × 2 (cut length: 72.25"")"
"48448","Glass Stop (Gutter)","Extrusion",2,$2.08,$11.73,"extrusion_percentage_based","Percentage-based: 35.78% of 102"" stock × $5.81 × 2"
"DR-ASD-TUBP020","3/8-24 Threaded Rod 35-1/16L","Hardware",2,$5.95,$11.90,"direct_bom_cost","Direct cost from ProductBOM: $5.95 × 2"
"AD-SWG-SHIM-FG","Extra-Wide Shim Jack","Hardware",3,$0.01,$0.03,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 3"
"DR-ASD-BUMBS35","Black Bumper","Hardware",9,$0.06,$0.53,"direct_bom_cost","Direct cost from ProductBOM: $0.0594 × 9"
"HW-STD-MCMA604","M5x15mm Press-Fit Stud","Hardware",2,$0.46,$0.92,"direct_bom_cost","Direct cost from ProductBOM: $0.4612 × 2"
"HW-ROLL-BUL105","MR105 Mini V Wheel Assembly","Hardware",1,$0.66,$0.66,"direct_bom_cost","Direct cost from ProductBOM: $0.66 × 1"
"HW-PLT-ALB0105","Albatur Suspension Plate","Hardware",2,$0.40,$0.80,"direct_bom_cost","Direct cost from ProductBOM: $0.4 × 2"
"DR-ASD-TUBS071","3/8-24 Locking Nut","Hardware",4,$0.13,$0.52,"direct_bom_cost","Direct cost from ProductBOM: $0.13 × 4"
"DR-ASD-NUT6360","1/4-20 Threaded Rivnut Insert","Hardware",3,$0.14,$0.41,"direct_bom_cost","Direct cost from ProductBOM: $0.137 × 3"
"DR-ASD-NUT2310","1/4-20 x 3/4 Flat Head Screw","Hardware",3,$0.03,$0.10,"direct_bom_cost","Direct cost from ProductBOM: $0.0325 × 3"
"DR-ASD-NUT2641","#10-24 x 3/8 Philips Pan Head","Hardware",8,$0.01,$0.08,"direct_bom_cost","Direct cost from ProductBOM: $0.0101 × 8"
"HW-SCR-FAS9097-BLK","#6 x 3/8 Flat Head Phillips Screw","Hardware",2,$0.03,$0.06,"direct_bom_cost","Direct cost from ProductBOM: $0.0314 × 2"
"E-12382H","4"" Lock Stile","Extrusion",1,$48.63,$58.90,"extrusion_full_stock","Full stock: 99"" @ $48.63 × 1 (cut length: 79.63"")"
"HW-PLG-5MM","5mm Hole Plug","Hardware",3,$0.01,$0.03,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 3"
"E-12311","Roller Track","Extrusion",1,$16.58,$25.40,"extrusion_full_stock","Full stock: 85"" @ $16.58 × 1 (cut length: 82.00"")"
"DR-ASD-TUBP938","Trim Sweep Pile","Hardware",6,$0.62,$3.71,"direct_bom_cost","Direct cost from ProductBOM: $0.6186 × 6"
"DR-ASD-ULTQTST","Swing Door Pile","Hardware",7,$0.15,$1.04,"direct_bom_cost","Direct cost from ProductBOM: $0.14828 × 7"
"HW-ADR-ALB1600","Soft-Close Roller Kit","Hardware",1,$26.70,$26.70,"direct_bom_cost","Direct cost from ProductBOM: $26.7 × 1"
"AD-LUG-1.55-FG","Door Lug (1.55)","Hardware",2,$0.01,$0.02,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 2"
"DR-ASD-TUB013D","Lock Stile Pile","Hardware",6,$0.35,$2.11,"direct_bom_cost","Direct cost from ProductBOM: $0.35181 × 6"
"AD-LUG-1.94-FG","Door Lug (1.94)","Hardware",2,$0.15,$0.30,"direct_bom_cost","Direct cost from ProductBOM: $0.14926 × 2"
"AD-ACC-TRK-CAP","Albatur 9700 Roller Track Cap","Hardware",1,$7.70,$7.70,"direct_bom_cost","Direct cost from ProductBOM: $7.7 × 1"
"RM-PUCK-BRKT","Roller Guide Bracket 12g Steel","Hardware",1,$0.01,$0.01,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 1"
"HW-PLG-13MM","13mm Hole Plug","Hardware",1,$0.01,$0.01,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 1"
"FOAM-GASKET-ROLL","Foam Gasket","Hardware",2,$0.10,$1.23,"master_part_hardware_lf","Hardware (LF): Formula ""height - 9"" = 73.625"" = 6.14 LF × $0.1/LF × 2"
"48445","2"" Fixed Back Stile","Extrusion",1,$35.73,$46.00,"extrusion_full_stock","Full stock: 99"" @ $35.73 × 1 (cut length: 79.63"")"
"48447","Glass Stop (Face)","Extrusion",2,$3.13,$27.43,"extrusion_full_stock","Full stock: 102"" @ $3.13 × 2 (cut length: 72.25"")"
"E-12154","ThinWall Door Stop","Extrusion",1,$10.85,$19.87,"extrusion_full_stock","Full stock: 87"" @ $10.85 × 1 (cut length: 83.13"")"
"48446","4"" Web Rail Deep","Extrusion",1,$18.16,$21.94,"extrusion_percentage_based","Percentage-based: 35.78% of 102"" stock × $50.74 × 1"
"48347-MF","Sliding Door U-Channel","Extrusion",1,$11.54,$11.54,"extrusion_full_stock","Full stock: 75"" @ $11.54 × 1 (cut length: 41.63"")"
"HW-SPR-MCMK221","4.5"" Zinc Spring","Hardware",2,$2.05,$4.10,"master_part_hardware","Hardware cost: $2.05 × 2"
"door-box","Cardboard Box for Door","Packaging",1,$10.00,$10.00,"direct_bom_cost","Direct cost from ProductBOM: $10 × 1"
"48445","2"" Fixed Back Stile","Extrusion",1,$35.73,$46.00,"extrusion_full_stock","Full stock: 99"" @ $35.73 × 1 (cut length: 83.13"")"
"DR-ASD-TUB1408","Sliding Door Lock Face Plate","Hardware",1,$5.93,$5.93,"direct_bom_cost","Direct cost from ProductBOM: $5.93 × 1"
"HW-SCR-MCMA572","1/4-20 Zinc 4"" Screw","Fastener",2,$0.35,$0.70,"direct_bom_cost","Direct cost from ProductBOM: $0.35 × 2"
"FOAM-GASKET-ROLL","Foam Gasket","Hardware",2,$0.10,$0.65,"master_part_hardware_lf","Hardware (LF): Formula ""width - 6.125"" = 38.875"" = 3.24 LF × $0.1/LF × 2"
"48351","Dovetail","Extrusion",1,$6.90,$10.93,"extrusion_percentage_based","Percentage-based: 39.27% of 99"" stock × $17.57 × 1"

GLASS
Glass Type,Width Formula,Height Formula,Calc Width,Calc Height,Qty,Sqft,Price/Sqft,Total Cost
"Clear","width - 6.625","height - 9.875",38.375,72.750,1,19.39,$4.00,$77.55

Component BOM Total,$442.32
Component Options Total,$0.00
Component Glass Total,$77.55

--- Component: ThinWall - Fixed Panel (Panel 867) ---
Dimensions,"37" W x 82.625" H"

BOM ITEMS
Part Number,Part Name,Part Type,Quantity,Unit Cost,Total Cost,Method,Details
"FOAM-GASKET-ROLL","Foam Gasket","Hardware",2,$0.10,$1.23,"master_part_hardware_lf","Hardware (LF): Formula ""height - 9"" = 73.625"" = 6.14 LF × $0.1/LF × 2"
"48447","Glass Stop (Face)","Extrusion",2,$3.13,$27.43,"extrusion_full_stock","Full stock: 102"" @ $3.13 × 2 (cut length: 73.63"")"
"48448","Glass Stop (Gutter)","Extrusion",2,$5.81,$32.79,"extrusion_full_stock","Full stock: 102"" @ $5.81 × 2 (cut length: 73.63"")"
"48351","Dovetail","Extrusion",2,$17.57,$55.68,"extrusion_full_stock","Full stock: 99"" @ $17.57 × 2 (cut length: 82.63"")"
"E-12303","Flat Stock Trim","Extrusion",2,$4.18,$16.15,"extrusion_percentage_based","Percentage-based: 30.49% of 123"" stock × $13.72 × 2"
"MS-BX-38-84X120-DW","Fixed Panel and Door Box","Packaging",1,$0.00,$0.00,"no_cost_found","No pricing method found"
"AD-LUG-1.04-FG","Door Lug (1.04)","Hardware",2,$0.01,$0.02,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 2"
"HW-N&B-FAS3004","Flat Washer","Hardware",2,$0.04,$0.07,"direct_bom_cost","Direct cost from ProductBOM: $0.0374 × 2"
"DR-ASD-BUMBS35","Black Bumper","Hardware",9,$0.06,$0.53,"direct_bom_cost","Direct cost from ProductBOM: $0.0594 × 9"
"E-12304","Thinwall U-Channel","Extrusion",1,$10.25,$14.09,"extrusion_percentage_based","Percentage-based: 47.44% of 78"" stock × $21.61 × 1"
"48450","4"" Web Rail Shallow","Extrusion",1,$17.78,$21.41,"extrusion_percentage_based","Percentage-based: 34.31% of 102"" stock × $51.81 × 1"
"48349","U-Channel Shallow","Extrusion",1,$5.29,$9.12,"extrusion_percentage_based","Percentage-based: 47.44% of 78"" stock × $11.14 × 1"
"48448","Glass Stop (Gutter)","Extrusion",2,$1.99,$11.25,"extrusion_percentage_based","Percentage-based: 34.31% of 102"" stock × $5.81 × 2"
"48447","Glass Stop (Face)","Extrusion",2,$1.08,$9.41,"extrusion_percentage_based","Percentage-based: 34.31% of 102"" stock × $3.13 × 2"
"HW-BLT-FAS2060","Lag Bolt","Fastener",2,$0.01,$0.02,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 2"
"AD-LUG-3.20-FG","Door Lug (3.20)","Hardware",2,$0.10,$0.20,"direct_bom_cost","Direct cost from ProductBOM: $0.1 × 2"
"E-12307H","4"" ThinWall Web Rail","Extrusion",1,$17.62,$21.25,"extrusion_percentage_based","Percentage-based: 34.31% of 102"" stock × $51.35 × 1"
"DR-ASD-NUT884","HexSleeve Anchor","Fastener",2,$0.39,$0.78,"direct_bom_cost","Direct cost from ProductBOM: $0.3902 × 2"
"STICKER-FLAT-TRIM","Flat Trim Sticker","Hardware",1,$0.10,$0.10,"direct_bom_cost","Direct cost from ProductBOM: $0.1 × 1"
"JAMB-KIT-BOX","Jamb Kit Box","Packaging",1,$0.00,$0.00,"no_cost_found","No pricing method found"
